category
Restaurants and Other Eating Places
"Sporting Goods, Hobby, and Musical Instrument Stores"
Clothing Stores
Drinking Places (Alcoholic Beverages)
Grocery Stores
Personal Care Services
Other Amusement and Recreation Industries
Florists
Specialty Food Stores
Gasoline Stations
Used Merchandise Stores
Health and Personal Care Stores
Amusement Parks and Arcades
"Museums, Historical Sites, and Similar Institutions"
Special Food Services
Other Miscellaneous Store Retailers
"Beer, Wine, and Liquor Stores"
"Office Supplies, Stationery, and Gift Stores"
Book Stores and News Dealers
"General Merchandise Stores, including Warehouse Clubs and Supercenters"
"Jewelry, Luggage, and Leather Goods Stores"
Consumer Goods Rental
Shoe Stores
Spectator Sports
Department Stores
Gambling Industries
Motion Picture and Video Industries
Performing Arts Companies
