cbg,income,income_moe,bachelor_or_higher,years_edu_weighted,median_age,male_proportion,white_proportion
60377019021,96359.0,47017.0,0.722397476340694,15.94411897251014,38.1,0.5209557383470427,0.882491186839013
90010101011,185972.0,127494.0,0.8056951423785594,16.42546063651591,45.2,0.4745934959349593,0.9390243902439024
90010101012,122409.0,74468.0,0.584942084942085,15.36100386100386,47.7,0.5256975036710719,0.8281938325991189
90010101013,250001.0,,0.7700803212851406,16.031124497991968,52.2,0.4748687171792948,0.9129782445611404
90010101014,130156.0,49910.0,0.5982339955849889,14.979028697571744,55.5,0.5488331892826275,0.9187554019014692
90010101021,250001.0,,0.7505175983436853,16.074534161490682,44.0,0.4757281553398058,0.8906148867313916
90010101022,250001.0,,0.9254783484390736,17.211480362537763,46.5,0.5498412698412698,0.8552380952380952
90010102022,179107.0,79712.0,0.7217847769028871,15.62992125984252,45.5,0.471195184866724,0.827171109200344
90010104001,116574.0,41810.0,0.4411764705882353,14.254325259515571,41.6,0.3065380493033226,0.8156484458735263
90010104002,182778.0,77431.0,0.6331828442437923,15.699774266365688,50.1,0.4767547857793983,0.9571558796718322
90010104003,148187.0,40611.0,0.5380710659898477,14.96243654822335,32.5,0.4231046931407942,0.5061371841155234
90010104004,52759.0,8567.0,0.2093802345058626,13.90787269681742,31.6,0.5963302752293578,0.9528178243774574
90010104005,72477.0,59052.0,0.4106463878326996,14.14575411913815,41.5,0.4551526717557252,0.9064885496183206
90010105006,66667.0,39265.0,0.5082956259426847,14.647058823529411,43.2,0.4677685950413223,0.8115702479338843
90010107002,51685.0,13059.0,0.3653333333333333,13.913333333333334,50.1,0.4369658119658119,0.7350427350427351
90010108001,85511.0,40770.0,0.62751677852349,15.07046979865772,43.7,0.536697247706422,0.7855504587155964
90010110002,215500.0,46036.0,0.7773641102010425,16.290394638868207,42.9,0.5069212410501194,0.9346062052505968
90010111001,250001.0,,0.8103448275862069,16.470443349753694,40.8,0.5498953244940684,0.8771807397069086
90010113001,123816.0,36109.0,0.4988505747126436,14.362452107279694,45.4,0.4746651135701805,0.7221898660454281
90010113002,50735.0,14571.0,0.2637362637362637,12.945054945054943,34.9,0.5214132762312634,0.8319057815845824
90010201002,87454.0,36599.0,0.5881753312945973,14.937818552497452,36.0,0.5538461538461539,0.62
90010204002,141413.0,26734.0,0.7037292817679558,15.64779005524862,46.0,0.4942583732057416,0.7229665071770335
90010205003,226382.0,29251.0,0.6508598228243877,15.61334028139656,51.9,0.4975591438227563,0.8922268118663161
90010213003,91298.0,20010.0,0.3946078431372549,14.05718954248366,38.7,0.4721502590673575,0.4702072538860103
90010214004,47065.0,17523.0,0.4036016949152542,14.065324858757062,37.1,0.465793632874238,0.6091668548205013
90010216002,102908.0,30660.0,0.6490312965722802,15.7451564828614,30.9,0.3275135460565924,0.4677904876580373
90010221001,47500.0,11977.0,0.1012020162853819,11.054672353625437,37.4,0.462059620596206,0.2823848238482385
90010601001,165865.0,23110.0,0.4151280524121501,14.002382370458609,35.9,0.4005727012408527,0.8937321030862233
90010726004,60988.0,16627.0,0.3293233082706767,13.815037593984965,19.9,0.364,0.8085714285714286
90012105003,97949.0,5149.0,0.5,15.049568965517242,45.9,0.4698246413117741,0.776816214985197
90012108003,95492.0,21313.0,0.3380986418870622,13.441029306647604,22.9,0.5571572242708682,0.6325846463291988
90012201003,109574.0,43850.0,0.5080174927113703,14.82725947521866,41.8,0.5023255813953489,0.8480620155038759
90012202001,117361.0,21413.0,0.5606653620352251,15.19569471624266,50.2,0.5194071983062809,0.953422724064926
90012571001,113092.0,12596.0,0.5214899713467048,14.779369627507164,47.5,0.4846153846153846,0.917948717948718
90093615002,95060.0,63997.0,0.2831632653061224,13.739795918367347,19.9,0.4294139329155916,0.630667158127534
100030145022,20833.0,9072.0,0.6636363636363637,16.813636363636363,19.4,0.4669718770438195,0.8755177676040985
120110105032,200099.0,33543.0,0.6693147013782542,15.738323124042878,38.9,0.5393984025378122,0.8411034951566306
120950171031,75404.0,15836.0,0.6118197278911565,15.34077380952381,32.3,0.520938729623384,0.6333614390106802
120950171032,79577.0,11203.0,0.527488,14.95744,34.3,0.4611500826593986,0.7861579017916983
120970408021,59140.0,5622.0,0.3509187907528156,14.052756372258449,34.9,0.5223065250379363,0.7648963075366717
160819601004,76489.0,10220.0,0.4714490674318508,14.46829268292683,36.8,0.5149858623939679,0.9413760603204524
190570010001,73061.0,13861.0,0.2303370786516854,13.597913322632424,45.8,0.4727694090382387,0.9571263035921204
201550018002,67813.0,18514.0,0.2430426716141001,13.901669758812616,33.8,0.5367816091954023,0.957471264367816
220710121021,60833.0,7934.0,0.7692307692307693,16.73076923076923,20.4,0.4273542600896861,0.6986547085201794
320030067001,97917.0,33549.0,0.5936739659367397,15.956204379562044,55.2,0.6811926605504587,0.6903669724770642
340030022002,100926.0,13536.0,0.3906976744186046,13.797209302325582,47.6,0.4598930481283422,0.6751336898395722
340030022004,114250.0,37691.0,0.653875094055681,15.221218961625285,43.4,0.4847689075630252,0.6822478991596639
340030023001,64492.0,16538.0,0.4372759856630824,14.1857825567503,53.5,0.4509896324222431,0.6663524976437323
340030023002,179625.0,30652.0,0.6433506044905009,15.63816925734024,49.4,0.4043109079033311,0.6218158066623122
340030023003,152850.0,26189.0,0.6153846153846154,15.372393961179007,42.7,0.4678091709124595,0.7128300138953219
340030070011,142321.0,39965.0,0.6425619834710744,15.334022038567491,45.7,0.4944500504540868,0.5287588294651867
340030070012,94750.0,33914.0,0.5566247224278312,14.620281273131011,46.6,0.5361507128309573,0.5285132382892057
340030070022,196571.0,40434.0,0.8195718654434251,16.25993883792049,44.6,0.5457083042568039,0.5652477320307048
340030070023,111719.0,55016.0,0.6471204188481675,15.354973821989528,42.8,0.5498181818181819,0.7047272727272728
340030070024,121250.0,71124.0,0.5720720720720721,15.623873873873874,51.1,0.5470588235294118,0.4088235294117647
340030080001,198068.0,49597.0,0.7396825396825397,16.163809523809523,37.8,0.5653266331658291,0.8086264656616415
340030101003,110144.0,21056.0,0.5642256902761105,14.679471788715489,37.6,0.4841666666666667,0.7516666666666667
340030120013,70152.0,57404.0,0.4509246088193456,14.455903271692746,35.5,0.4395663956639566,0.6417344173441735
340030130012,140050.0,19513.0,0.7886403618999749,16.013068610203568,35.7,0.4868551097054754,0.4200434868551097
340030153003,73063.0,12564.0,0.2938425565081839,13.82307092751364,40.2,0.3846153846153846,0.1718832891246684
340030154003,74813.0,11130.0,0.551288056206089,14.636533957845431,36.2,0.5154080596004064,0.4114459871317304
340030155001,143958.0,64691.0,0.6393270241850684,15.95583596214511,54.1,0.5,0.859349593495935
340030160002,138077.0,14832.0,0.6915584415584416,15.662337662337665,52.4,0.4786967418546365,0.2593984962406015
340030191031,64018.0,15323.0,0.6029761904761904,15.182738095238095,36.7,0.4897003745318352,0.3567415730337078
340030191032,77188.0,13982.0,0.5835370823145885,14.947025264873677,42.0,0.5343137254901961,0.5007002801120448
340030192021,85880.0,10548.0,0.6421254801536491,15.537131882202305,34.9,0.4939866369710468,0.4570155902004454
340030193031,75139.0,39674.0,0.5767754318618042,14.670825335892514,46.5,0.4620962425840474,0.4126565589980224
340030193034,75966.0,4638.0,0.4988610478359909,14.599088838268791,40.6,0.4425068119891008,0.4986376021798365
340030193051,105241.0,11202.0,0.6507686243594797,15.562475364603864,68.0,0.4577567370721049,0.6420247632920612
340030233023,86250.0,20722.0,0.4970099667774086,14.811295681063124,38.7,0.4004004004004004,0.6906906906906907
340030241001,142750.0,23045.0,0.6341463414634146,15.419341035515618,48.3,0.4803860523038605,0.6924034869240349
340030241002,148295.0,44385.0,0.6620603015075377,15.381909547738694,41.3,0.5308134757600658,0.6754313886606409
340030241003,145341.0,72001.0,0.7060546875,15.8310546875,47.6,0.4956228956228956,0.8430976430976431
340030311004,104821.0,31159.0,0.4555382215288611,14.273790951638066,35.2,0.5270964061608671,0.6417569880205363
340030321021,146510.0,39315.0,0.6395873629916183,15.345583494519664,42.2,0.4559760209816411,0.8523791682278007
