cbg,entropy_brand,brand_std,entropy_price
360010002001,0.0,,0.0
360010002002,0.0,,0.0
360010003001,0.38383067161838,12264.087267107896,0.44524582010974567
360010003002,0.0,,0.0
360010003003,0.10171587309820164,6293.957459341459,0.5
360010004011,0.37639345677798447,10207.654275478395,0.6742939480062112
360010004034,0.2629317176869631,4802.57191166011,0.36096404744368116
360010005012,0.16121584458876145,8409.661427984682,0.0
360010006002,0.0,,0.0
360010006003,0.20343174619640328,12870.096907010193,0.4056390622295664
360010007003,0.0,,0.0
360010008003,0.0,,0.0
360010011001,0.3079111498981009,7796.725169465819,0.5478976275004669
360010014001,0.0,,0.0
360010014002,0.10171587309820164,8435.783899555512,0.0
360010017001,0.2361769434427121,10018.112721466056,0.5
360010017003,0.16121584458876145,6667.261831766723,0.0
360010018014,0.16121584458876145,4146.806763442603,0.0
360010018024,0.10171587309820164,18258.204197017843,0.5
360010020001,0.0,,0.0
360010020002,0.0,,0.0
360010020004,0.16121584458876145,9518.198844844543,0.4591479170272447
360010020005,0.0,,0.0
360010021001,0.16121584458876145,13295.344185089756,0.4591479170272447
360010021003,0.10171587309820164,6483.462076699454,0.5
360010022002,0.0,,0.0
360010025003,0.0,,0.0
360010026001,0.10171587309820164,7364.517126057893,0.0
360010127002,0.0,,0.0
360010128001,0.20343174619640328,10010.261768139066,0.0
360010128002,0.0,,0.0
360010128003,0.0,,0.0
360010128004,0.0,,0.0
360010129002,0.10171587309820164,598.9194436650057,0.0
360010130004,0.0,,0.0
360010130005,0.0,,0.0
360010131001,0.0,,0.0
360010132003,0.2361769434427121,3352.9967939143635,0.4056390622295664
360010132005,0.0,,0.0
360010133002,0.0,,0.0
360010134002,0.0,,0.0
360010135031,0.0,,0.0
360010135032,0.2361769434427121,3335.335620293705,0.4056390622295664
360010135051,0.2629317176869631,8150.71281800964,0.32501121082417705
360010135052,0.10171587309820164,25309.82657240069,0.0
360010135061,0.10171587309820164,15624.231437097955,0.0
360010135063,0.2629317176869631,11559.534881069681,0.32501121082417705
360010135071,0.3378928165409137,14468.47797454867,0.6960736118322673
360010135072,0.16121584458876145,7461.964508983768,0.0
360010135082,0.20343174619640328,8397.815881723853,0.0
360010135083,0.5055091514467651,12910.809901342387,0.5910160471454754
360010136011,0.10171587309820164,3331.887152951012,0.0
360010136013,0.2361769434427121,2811.8358237991065,0.0
360010136021,0.16121584458876145,2330.769043327402,0.4591479170272447
360010136022,0.0,,0.0
360010136023,0.2629317176869631,7337.0176411582015,0.0
360010137031,0.410667787867113,7311.71958148725,0.4955380299191111
360010137051,0.0,,0.0
360010137052,0.40686349239280656,7611.8152351432145,0.7157801421416576
360010137053,0.15257380964730247,3675.5125152827327,0.0
360010137054,0.0,,0.0
360010137061,0.16121584458876145,2156.0135280960853,0.4591479170272447
360010137071,0.36464759078516484,12620.987135131367,0.7416778774908438
360010137072,0.20343174619640328,13787.201347626717,0.4591479170272447
360010138011,0.0,,0.0
360010138012,0.2629317176869631,6146.201539704557,0.4591479170272447
360010138015,0.10171587309820164,11242.290714084918,0.0
360010138016,0.0,,0.0
360010138017,0.0,,
360010139011,0.20343174619640328,7913.2202199863,0.4591479170272447
360010139012,0.4157598516542343,8658.10000850954,0.5830435300531968
360010139023,0.35187910751321766,6127.3929707651205,0.47283015230032005
360010140011,0.32243168917752296,15250.12000453694,0.4056390622295664
360010140012,0.20343174619640328,5399.842374242664,0.4591479170272447
360010140013,0.38726843009182466,10849.210808197722,0.44524582010974567
360010140022,0.0,,0.0
360010140023,0.0,,0.0
360010140024,0.0,,0.0
360010141004,0.16121584458876145,13956.11783412565,0.4591479170272447
360010142011,0.3378928165409137,3596.3458939441425,0.4955380299191111
360010142013,0.3378928165409137,9040.248875630212,0.6758220575766962
360010142014,0.28555255699362314,13857.786894704635,0.4591479170272447
360010142021,0.2361769434427121,10449.162440119304,0.36096404744368116
360010142034,0.0,,0.0
360010142035,0.0,,0.0
360010143011,0.10171587309820164,5239.661248592317,0.0
360010143012,0.10171587309820164,12134.659471942343,0.5
360010143023,0.28555255699362314,11195.615774553382,0.43156028428331555
360010144012,0.16121584458876145,12153.305407720703,0.4591479170272447
360010144022,0.20343174619640328,9480.554607546263,0.4056390622295664
360010145022,0.0,,0.0
360010145023,0.09340526252329369,1850.4076127527526,0.0
360010145032,0.16121584458876145,878.683105561954,0.4591479170272447
360010146061,0.10171587309820164,13596.956295436123,0.0
360010146062,0.0,,0.0
360010146071,0.0,,0.0
360010146072,0.10171587309820164,3745.544619945142,0.0
360010146073,0.0,,0.0
360010146074,0.0,,0.0
360010146075,0.0,,0.0
360010146081,0.432081655887787,11823.22761144548,0.7652465283787413
360010146082,0.10171587309820164,598.9194436650057,0.0
360010146091,0.20343174619640328,18258.74867928614,0.4591479170272447
360010146092,0.2629317176869631,15468.199439495213,0.32501121082417705
360010146112,0.10171587309820164,1649.6801205082154,0.0
360010146121,0.10171587309820164,2266.277233702885,0.0
360010146132,0.0,,
360010146142,0.0,,0.0
360010146143,0.0,,0.0
360010146144,0.10171587309820164,297.6919548795365,0.0
360010146151,0.28555255699362314,7786.651435079688,0.43156028428331555
360010148011,0.16121584458876145,8919.940040904608,0.0
360039501001,0.0,,0.0
360039503001,0.10171587309820164,7503.110055170456,0.0
360039503002,0.0,,0.0
