cbg,mobility
100030145022,216.63761339226528
120110105032,1705.8250953075976
120950171031,1549.7659871585531
120950171032,1584.0108845157056
120970408021,1570.5920521807784
160819601004,2718.0733783804803
190570010001,1395.7820468813372
201550018002,2015.2469076353389
220710121021,1914.726233163658
320030067001,3574.632025536682
340030022002,22.189108515828188
340030022004,14.474752615441588
340030023001,15.910542870230456
340030023002,33.71215301359575
340030023003,23.314828188150063
340030070011,34.753523201823654
340030070012,35.706315303028546
340030070022,23.526383547640286
340030070023,45.497373261813934
340030070024,31.289268167346677
340030080001,40.94618083566039
340030101003,40.70442670955696
340030120013,13.855762988343367
340030130012,38.77628210219995
340030153003,25.454251219248068
340030154003,76.69634313217352
340030155001,30.16159271767058
340030160002,28.4520783216884
340030191031,22.03944955616218
340030191032,21.922590516702208
340030192021,21.796129164270386
340030193031,50.551534021901084
340030193034,17.642846713674846
340030193051,17.44876107265367
340030233023,20.878284698717604
340030241001,16.712743975244553
340030241002,16.7365265864475
340030241003,25.93892507288228
340030311004,55.13919882596877
340030321021,29.565692964766843
340030321042,38.681839874073205
340030322011,18.276609045894954
340030322013,27.611373261845635
340030351001,10.441247608225037
340030351002,14.931007590921094
340030351004,15.283766966024189
340030351005,24.99110849834556
340030352004,20.50099089598604
340030352005,40.38129997209476
340030362001,18.359266878362256
340030391003,47.20030053940951
340030411004,16.449429597297375
340030430012,20.637978337261327
340030430022,17.67108129621214
340030471005,36.33676906416834
340030490011,8.269942909774075
340030490013,22.519437039280504
340030490022,28.97090026430536
340030490023,30.878042923530135
340030532003,18.005353077794386
340030532004,29.23937510418791
340030532005,36.22865065193677
340030541001,23.39197873372834
340030541003,16.052096835654158
340030552006,39.1709695675722
340130007002,49.436198370813514
340130037001,32.26717088885178
340130050001,23.04984171975812
340130070001,50.56188738438539
340130080001,22.971926961260483
340130106001,26.317825183248697
340130113003,23.667020564233148
340130130001,28.61373336471443
340130146003,61.699286786996915
340130200007,80.23827011979982
340130201003,36.759169762437914
340130205002,48.96086048501055
