cbg,nbrands,entropy_brand,brand_range,brand_std,nlevels,entropy_price
60377019021,46,0.54077085243508,61463.0,12034.24780879955,4,0.6334149661856944
90010101011,24,0.45846456466985475,59408.0,16326.793162232625,3,0.5837061978803576
90010101012,24,0.45846456466985475,136019.0,25417.479604732693,2,0.4854752972273344
90010101013,31,0.49199223258065433,77822.0,16543.94591661219,4,0.8575109727790242
90010101014,32,0.4890577779291211,150886.0,26840.162603837576,3,0.7526883829654478
90010101021,25,0.4687220966062098,70300.0,18296.950441817295,4,0.7284008908875141
90010101022,31,0.4969506873513025,72441.0,17244.37393961641,4,0.7701322763009321
90010102022,31,0.48269025280334155,64882.0,14508.321719452311,3,0.6123399372088096
90010104001,24,0.46220945563082716,62786.0,14627.51901237274,3,0.5636929292356786
90010104002,25,0.4557581331492592,72441.0,18364.06229596138,3,0.6858430248405262
90010104003,24,0.45175344110700744,55006.0,14918.550386747746,3,0.7029749298038293
90010104004,27,0.4697722895488532,43537.0,10946.235750329166,3,0.5500361516059487
90010104005,21,0.4303871066913411,58050.0,14827.669499556041,3,0.6333343752062249
90010105006,51,0.5586949706920079,81187.0,15596.115342890456,4,0.6013099048935197
90010107002,36,0.5196734120353185,53523.0,12260.18789097888,4,0.6297418117023866
90010108001,25,0.4640030061262269,62838.0,13992.671561197236,3,0.5684674218810437
90010110002,27,0.47549262671424225,56194.0,14144.084940882503,4,0.7662529022605794
90010111001,27,0.47908802306034265,56029.0,12201.245162248144,4,0.7430587458024491
90010113001,53,0.5502623290239043,140717.0,19105.203836149125,4,0.6082912461092661
90010113002,28,0.45658734951565494,55473.0,11930.513993167202,3,0.5421682749166437
90010201002,23,0.43754280210749547,61869.0,10442.714829793713,3,0.4820395871430598
90010204002,20,0.4273056806266777,47557.0,12315.712123023284,4,0.7525911881720871
90010205003,26,0.46453486757563633,63187.0,14725.614570688964,3,0.5547039318025545
90010213003,22,0.4450496164042443,37225.0,9461.550839439418,3,0.5982104735958318
90010214004,23,0.45084243843526595,56989.0,12650.701975289054,3,0.610847453818164
90010216002,25,0.46930921826988065,55048.0,12820.559183143452,3,0.6205053464328488
90010221001,25,0.47013294051659804,43131.5,12353.694065977435,3,0.7118879549598659
90010601001,39,0.5311262815913195,65881.0,13124.812052495388,3,0.5651859279982014
90010726004,29,0.4624054770497635,42435.0,10277.426482706478,3,0.539669030270268
90012105003,45,0.5296487379996154,85458.0,15910.32261257061,4,0.7654993366626485
90012108003,24,0.4528542421534869,63039.0,13557.041760713157,3,0.5780897303380769
90012201003,22,0.4394682367439052,81654.0,16829.391271318113,3,0.5982104735958318
90012202001,22,0.4366298468245601,81394.0,20522.898069118943,3,0.6860106612133124
90012571001,22,0.4450175025788139,72962.0,17327.457788281346,3,0.6024465036227159
90093615002,35,0.5156314349690029,65280.0,15841.061274073603,3,0.5486774757179141
100030145022,20,0.4263162698353926,98455.5,19528.14662917433,3,0.6412874610175604
120110105032,36,0.5197953478217063,70616.0,14705.249779850727,4,0.7179699027851695
120950171031,38,0.5183467491144778,51612.0,11504.813771053668,4,0.6612662044575739
120950171032,49,0.5455099597385455,64291.0,13655.476804623913,4,0.6732494974868429
120970408021,39,0.5183050701256918,69202.0,13826.634196975718,4,0.7794435530161365
160819601004,1,0.0,0.0,0.0,1,0.0
190570010001,84,0.6010691341626607,52381.0,10554.251570612265,4,0.5506167036414712
201550018002,32,0.4895134141339731,42888.0,11921.314829766745,4,0.5816973280834066
220710121021,28,0.47835422501574265,137069.0,25072.980972655052,4,0.6819243341238529
320030067001,41,0.5326446081308933,82656.0,13201.457313238418,4,0.736492670256395
340030022002,30,0.4908430596784097,37587.0,10497.839114366365,4,0.7180150571398964
340030022004,24,0.45277725819220227,71597.0,14591.510090514284,4,0.7444614953166404
340030023001,28,0.46651175100771053,50357.0,13874.607756437505,4,0.6371375740718479
340030023002,26,0.4731995242902181,44704.0,12592.34509085218,3,0.6903752103808344
340030023003,35,0.5052739173201974,55738.0,15237.751081954728,4,0.7819898290559051
340030070011,20,0.42576204980407956,44446.0,11514.500285567616,4,0.7612825992451746
340030070012,30,0.48971096331106223,63039.0,14268.2947666688,4,0.657758311282704
340030070022,30,0.489585895316942,50357.0,11917.47263080594,4,0.7249230352758622
340030070023,21,0.4361603207191539,56353.0,12797.314168446674,3,0.6104600329463098
340030070024,24,0.4434454685479432,71794.0,14046.229491061555,4,0.8007815100083303
340030080001,26,0.4704434358618551,37969.0,8956.230475440247,4,0.7563602540749769
340030101003,26,0.4732196118680135,58611.0,12846.169806789598,4,0.6676362987263367
340030120013,33,0.5007089683832289,66844.0,13906.954123646372,4,0.766594197803627
340030130012,61,0.5810339515580021,53953.0,12492.582671882787,4,0.6776285304442666
340030153003,21,0.427641337025706,57894.0,11155.104184532094,3,0.5888138944776001
340030154003,21,0.4356759737141212,37944.0,10061.372511985313,3,0.6003979077310424
340030155001,19,0.41097440297519283,67727.0,15818.180554346354,3,0.7173810506943252
340030160002,30,0.48413401996493555,54827.0,12800.72380016141,4,0.7453340810391524
340030191031,25,0.45603518656020886,62144.0,12213.329720658941,3,0.5892357725284598
340030191032,35,0.5153631214805375,40134.0,10398.43501204017,4,0.6204107546317403
340030192021,48,0.5456522139475593,71507.0,11801.625130216826,3,0.6791464273153931
340030193031,19,0.40378623792866725,43674.0,11567.351962511595,3,0.6498782439367252
340030193034,24,0.46272381339168933,55760.0,14287.97520473419,4,0.7571514757368123
340030193051,31,0.4719756982861441,116893.5,16680.03297732837,4,0.5444363970042504
340030233023,23,0.4362614213327769,57622.0,11772.103184344633,3,0.5919585247884476
340030241001,60,0.5742230761778322,63877.5,13531.616763770584,4,0.7617763051531473
340030241002,25,0.45879189175369844,49562.0,13705.538903188773,4,0.6835610581632281
340030241003,34,0.5000218910521452,58083.0,13786.800466208586,4,0.7638632256840994
340030311004,36,0.5143419828130978,61707.0,12259.372707595381,4,0.6990308945317655
340030321021,23,0.44919111075728185,39733.0,11034.60324268933,3,0.7493288681059536
340030321042,20,0.417959373243461,60427.0,15473.568236561032,2,0.4956991297033241
340030322011,23,0.45102873071680133,38974.0,11510.420975339028,3,0.5716772687412561
340030322013,22,0.4436956042760646,61132.0,13540.157235819703,4,0.6725500614807348
340030351001,45,0.5196369823750236,63039.0,12984.836414506475,4,0.5934878223535343
340030351002,48,0.536124338991225,52522.0,12293.196260618923,4,0.6697078345794166
340030351004,36,0.5025288454721705,62313.0,13584.267051790326,3,0.5346025638003012
340030351005,38,0.5087144424828525,60427.0,13722.762338200311,4,0.7530217793204371
340030352004,22,0.4462725970545805,43916.0,13784.465502451761,2,0.3967956150058532
340030352005,28,0.48192748762677184,57536.0,13821.516108851592,2,0.4591479170272447
340030362001,25,0.4712132260815452,51801.0,11342.513672881556,3,0.6686167072757017
340030391003,23,0.45513300947120233,77048.0,16678.770087834062,3,0.6044150876474739
340030411004,21,0.4362204948909437,59755.0,12595.330329622493,3,0.4927818030521437
340030430012,27,0.4804009081142169,53135.0,14386.396022025414,3,0.5903868362283825
340030430022,26,0.47488412170873306,44278.0,11637.963219906609,2,0.47134159462774616
340030471005,8,0.05640236405514078,45114.0,3958.5552596922284,3,0.13577341133765944
340030490011,22,0.4285394159855609,57875.0,13277.287145492473,3,0.5730019844550064
340030490013,27,0.4538781578330493,69063.0,15163.05630573535,3,0.5266286176778163
340030490022,33,0.506860816637228,57855.0,13524.21727454431,4,0.7116196418226036
340030490023,38,0.5271670712505528,42309.0,11792.91265173315,3,0.5329662464301521
340030532003,31,0.4906779039197719,57114.0,13089.323731941811,3,0.5590002180056819
340030532004,19,0.4072968197777841,50114.0,12881.496917389653,3,0.7071184717624198
340030532005,33,0.5061896800744177,72945.0,15947.474492513104,4,0.7028182964301216
340030541001,27,0.4806393135232682,73270.0,16788.673684354137,2,0.40358377771444526
340030541003,23,0.4549901129218361,52340.0,14270.434777549459,3,0.5888138944776001
340030552006,30,0.48932617553169894,77479.0,16284.32818696243,4,0.7742257205255075
340130007002,22,0.4452452539615283,38110.5,8302.334002166928,2,0.4996817428363825
340130037001,17,0.3821546557282201,49391.0,11856.374344510454,3,0.6846626118206678
340130050001,21,0.4280470830869399,58525.0,15208.31229641939,4,0.6953976069779234
340130070001,24,0.4559581322518563,63247.0,14097.090478832839,4,0.6987306246348761
340130080001,23,0.4536930923211386,47926.5,11079.221323250758,4,0.8496182680841398
340130106001,30,0.4852425434587335,51446.0,11030.810914759777,4,0.6847997881562259
340130113003,23,0.4401645001569093,42393.5,11575.540342717075,3,0.5997344125382458
340130130001,25,0.45965975966971,44847.0,9771.708502311278,2,0.49261406801712576
340130146003,21,0.431982977506311,45333.0,12673.38618517915,2,0.4999684968983452
340130200007,25,0.4533093719428245,51335.0,12824.45684760429,4,0.742704870306166
340130201003,29,0.48044147061600323,48798.0,10663.130243571857,4,0.6332895549398697
340130205002,22,0.43789350040610525,40134.0,9871.470595841402,4,0.5906027150773392
340130216023,20,0.4278664752425601,44522.0,9709.585909496205,3,0.6763620978123273
340170008001,23,0.45187116042896186,62208.0,13751.787529220068,4,0.753905243348959
340170017012,30,0.4767513093190092,56594.5,11809.232119530474,3,0.6025768122569205
340170019001,42,0.5384747477416015,148570.0,21600.494306107077,4,0.6219896438452712
340170020001,27,0.47322613801601865,50783.0,11780.183296797693,4,0.7766868320273256
340170027002,23,0.4387996657562492,50732.0,13384.003864580169,3,0.6607725108574112
340170028001,21,0.4381290022235851,84178.0,15330.716583037016,4,0.7103830984017047
340170029001,29,0.4842939665374064,38312.0,9649.138973507715,2,0.41190581665615866
